,Title,Title_Entity,Title_Salience,Description,Description_Entity,Description_Salience
0,can unicorn meat,['unicorn meat'],[1.0],amaz unicorn meat real excel sourc sparkl unicorn know frolic world poop rainbow marshmallow wherev go don't know unicorn reach end lifespan drawn counti meath ireland sister radiant farm dedic live nurs eleg creatur final day take cue kobe beef industri massag unicorn coat guin daili also fatten diet compris entir candi corn unicorn age meat becom fatti marbl live bone horn lose densiti process much like osteoporosi horn outer layer keratin begin develop flavor similar candi almond blend crush unicorn horn meat add delight crispi flavor note bite confid find world bewilder everi mouth scrumptious unicorn meat unfortun due restrict import mythic process meatstuff unabl bring can unicorn meat way sister radiant farm intend open find one tini unicorn appropri slice main cut meat simpli use growth ray reembiggen unicorn skin process flesh you'r lazi bring local mad scientistbutch he'll know 100 toy import 55ounc unicorn meat – item 55ounc delici unicorn meat can conveni excel sourc sparkl – unicorn sprinkl sparkl everywher assur unicorn meat excel sourc sparkl magic everi bite – feel magic everi bite unicorn meat crunchi horn bit everi bite meat also easili spreadabl sandwich easyopen – bottom easilyremov let gain access unicorn meat open need stuf toy – joke asid insid cutup unicorn stuf plush toy add collect geeki toy,"['unicorn meat', 'unicorn', 'sister', 'unicorn', 'end lifespan', 'world poop rainbow marshmallow wherev', 'ireland', 'meatstuff', 'almond blend crush unicorn horn meat', 'corn unicorn age meat', 'meat', 'unicorn coat guin daili', 'farm', 'nurs', 'diet compris entir', 'beef', 'densiti process', 'osteoporosi horn', 'bite meat', 'unicorn meat', 'bone horn', 'process', 'world', 'flavor', 'unabl', 'farm', 'fatti marbl', 'unicorn meat unfortun', 'layer keratin', 'unicorn', 'bite', 'bite unicorn meat crunchi horn', 'unicorn appropri', 'growth ray reembiggen unicorn skin process flesh', 'unicorn meat', 'delight crispi flavor note bite confid', 'simpli', 'toy', 'unicorn meat', 'unicorn meat', 'toy', 'toy', 'sandwich easyopen', 'easilyremov', 'sourc sparkl', 'scientistbutch', 'one', '55', '100', '55']","[0.09428331255912781, 0.08158586919307709, 0.05899801477789879, 0.05665914714336395, 0.052060358226299286, 0.05083601549267769, 0.03119153343141079, 0.025499090552330017, 0.025499090552330017, 0.02519211359322071, 0.02342512086033821, 0.02297666110098362, 0.022849377244710922, 0.020103733986616135, 0.020103733986616135, 0.020103733986616135, 0.01869412697851658, 0.018200716003775597, 0.017713353037834167, 0.017713353037834167, 0.017548054456710815, 0.01716725341975689, 0.015671856701374054, 0.01548195630311966, 0.014647681266069412, 0.014389456249773502, 0.014294594526290894, 0.013780711218714714, 0.013613518327474594, 0.013469341211020947, 0.012779664248228073, 0.012779664248228073, 0.012651752680540085, 0.012651752680540085, 0.012436254881322384, 0.011901979334652424, 0.009550029411911964, 0.008963584899902344, 0.0078115607611835, 0.0078115607611835, 0.0076439292170107365, 0.007015363313257694, 0.006694034673273563, 0.006694034673273563, 0.0052387830801308155, 0.0036231661215424538, 0.0, 0.0, 0.0, 0.0]"
1,50 way eat cock healthi chicken recip ball,"['way', 'chicken recip ball', '50']","[0.7815695405006409, 0.21843047440052032, 0.0]",introduc 50 way eat cock curious cock you'r one rever viril strength rooster taken back seat hen recent year recip like risotto cock ball cocko “50 way eat cock” fun invent chicken cookbook take reveal look folklor histori culinari cultur nutrit benefit wellendow ingredi you'll learn practic econom healthi chicken recip impress friend nourish bodi tongueincheek descript play cock recip bulg everyth quintessenti quickandeasi downright quirki you'll learn tame tough bird meat succul fingerlick gourmet meal thank ingenu author certifi nutritionist adrienn hew nobl cock retak right place head tabl grab “hard copy” perfect bridal shower gift,"['way', 'cock', 'chicken cookbook', 'rever', 'strength rooster', 'recip', 'seat hen', 'cock', 'risotto cock ball', 'gourmet meal', 'way', 'nobl cock', 'fun', 'econom healthi chicken recip impress friend', 'adrienn', 'certifi nutritionist', 'author', 'wellendow ingredi', 'bodi tongueincheek', 'tabl grab', 'bridal shower gift', 'hard copy', 'bird meat', 'quirki', 'cock recip bulg everyth quintessenti quickandeasi', '50', 'one', '50']","[0.13292673230171204, 0.13148967921733856, 0.10840343683958054, 0.10243161022663116, 0.09073249250650406, 0.059237733483314514, 0.040697481483221054, 0.0359121710062027, 0.03566625341773033, 0.028368253260850906, 0.027538182213902473, 0.025311680510640144, 0.024240242317318916, 0.022539939731359482, 0.01704382710158825, 0.01704382710158825, 0.01704382710158825, 0.014593717642128468, 0.013399139046669006, 0.011966073885560036, 0.011966073885560036, 0.011966073885560036, 0.007516162469983101, 0.007516162469983101, 0.0044492194429039955, 0.0, 0.0, 0.0]"
2,give noth person everyth,['person everyth'],[1.0],friend everyth never know get today lucki day buy noth noth precious simpl sacr pack open abl experi gift noth absolut noth ultim minim git less less abl say got noth birthday feel prouder ever instruct open noth step 1 care open pack step 2 experi noth content sound one hand clap hole doughnut thing goe bump dark sound tree fall forest one hear incid one talk bash achiev warranti product guarante absolut noth someth happen return full refund,"['noth', 'friend everyth', 'gift', 'noth step', 'sound tree fall forest', 'pack step', 'birthday', 'experi noth content sound', 'talk bash', 'noth absolut noth ultim', 'guarante absolut noth someth', 'achiev warranti product', 'abl', 'refund', 'hand clap hole doughnut thing', '2', 'one', '1', 'one', 'one']","[0.28168463706970215, 0.12111132591962814, 0.086349718272686, 0.06778643280267715, 0.06421996653079987, 0.06236627325415611, 0.0597856380045414, 0.054986439645290375, 0.041711799800395966, 0.035336755216121674, 0.033262185752391815, 0.029371807351708412, 0.02434314787387848, 0.01918666996061802, 0.01849721558392048, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,watchmen ink mask guy,['watchmen ink mask guy'],[1.0],look watchmen ink mask guy … best anim rorschach inkblot mask find thousand sold 55 countri 15 million video view youtub 7th year offer special effect need warm breath fade ink transpar cool air darken produc move effect see you'll get littl practic goe long way pattern made use nontox 100 safe thermochrom ink react breath control effect simul anim inkblot amaz seen countless video onlin mask high perform nonallergen spandex blend custom hood seam fit head measur sake around forehead 22″ 24″ inch use 4way stretch fabric nylonspandex blend allow mask fit peopl comfort visibl good welllit area breathabl ideal maximum visibl stretch mask vertic horizont eye area open weav,"['mask', 'watchmen ink mask guy', 'video view youtub', 'effect', 'practic', 'stretch fabric nylonspandex blend', 'move effect', 'breath fade ink', 'video', 'breath control effect simul anim inkblot', 'pattern', 'ink', 'air', 'mask', 'peopl comfort', 'horizont eye area', 'welllit area', 'weav', 'forehead', 'hood seam', 'measur sake', '55', '24', '100', '22', '15 million', '4', '7']","[0.15680553019046783, 0.1371707022190094, 0.09264752268791199, 0.06743240356445312, 0.05775919929146767, 0.057444680482149124, 0.04602624103426933, 0.039364445954561234, 0.039137549698352814, 0.039137549698352814, 0.03750139847397804, 0.037061482667922974, 0.0370517261326313, 0.03480711951851845, 0.026083046570420265, 0.020839856937527657, 0.020839856937527657, 0.018327785655856133, 0.011520635336637497, 0.011520635336637497, 0.011520635336637497, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,tobleron extra larg jumbo 45 kg tobleron bar sale,"['bar sale', '45']","[1.0, 0.0]",cant get enough alway look love chocol giant tobleron bar halal biggest bar chocol ever pure cocoa butter mix milk swiss alp decor honey almond nougat giant tobleron make everybodi crazi swiss chocol stop look buy giant tobleron bar click buy mayb bundl watchmen ink mask hide day finish largest tobleron product would take week consum meltinyourmouth smooth tast finest qualiti swiss chocol fine milk chocol bar made creami swiss milk alp honey almond nougat tobleron stock mani tobleron flavour differ size availi stop look buy giant tobleron bar click buy,"['look', 'tobleron', 'bar chocol', 'cocoa butter mix milk', 'tobleron', 'tobleron bar click', 'chocol stop look', 'bundl watchmen ink mask', 'decor honey almond nougat giant', 'tobleron product', 'consum', 'milk', 'tobleron flavour', 'honey almond nougat tobleron stock mani', 'stop look', 'tobleron bar click buy', 'size', 'chocol bar', 'milk']","[0.22878645360469818, 0.18926498293876648, 0.07561808079481125, 0.06301458925008774, 0.05341402068734169, 0.043886128813028336, 0.04309610649943352, 0.038684114813804626, 0.03472178429365158, 0.03230314329266548, 0.03230314329266548, 0.03042205236852169, 0.024467727169394493, 0.024467727169394493, 0.021418597549200058, 0.01896367222070694, 0.017205126583576202, 0.014475854113698006, 0.01348669920116663]"
5,best mini camera wifi,['camera wifi'],[1.0],💙 remot monitor 1080p spi camera easi wifi connect access wireless wifi spi hidden camera could livestream footag anywher world batteri power work anywher wifi signal cellular servic addit without wifi camera could taken videosnapshot ❤️ upgrad night vision motion detect notif best night vision spi camera amazon 8 invis lamp bead excel night vision give clear view everyth eveningintellig motion detect app push notif motion detect wifi nanni camera push messag phone 💜 24 hour loop record mini camera mini spi camera enabl monitor 247 happen home locat mini size 118 x 118 x 118 indic light sound without intrud suspect watch record also great babi pet elder monitor home 💚 1080p mini spi camera suitabl outdoor indoor video record spi camera record clear 1080p hd 140°wide angl come bike bracket use carbik camcord record everi moment spi camera adsorb iron strong magnet suction tip buildin 800mah batteri shoot 4 5 hour row 💛 easi use don't technician download app follow instruct configur devic connect camera packag include1x spi camera wifi 1x bike bracket 1x magnet suction 2x strong sticker 1x usb cabl 1x detail user manual 180 day reason refund guarante realtim remot monitor livestream footag anywher world connect ip camera home wifi network ❤️ 1080p hd 720p upgrad night vision 8 invis lamp bead clear pictur video qualiti assur night vision better amazon spi cameraspleas see review custom speak high night vision ❤️three gift use anywher 1 come bike bracket use outdoor like use carbik camcord record everi moment 2 magnet suction attach camera metal place take away anytim 3 use strong sticker attach smooth surfac ❤️ motion detect notif detect move object nanni camera push messag phone ❤️ 24 hour loop record mean mean camera 247 monitor home interrupt first know intrud ❤️ easi use revis app 40 time don't technician follow instruct connect make work ❤️ mini spi wifi camera 140degre wide angl give wider rang view monitor compact lightweight design 118 x 118 x 118 super mini size hidden mani place without rais suspicion ❤️extrem compatiblesupport io android ipad multipl peopl use devic time mean wife monitor home time note mini spi camera support 5ghz wifi remot use packag 1 x mini spi hidden camera 1 x bike bracket 1 x usb cabl 1 x magnet suction 2 x strong sticker 2 x iron sheet 1 x detail user manual,"['wifi', '1080p spi camera', 'camera', 'night vision spi camera', 'wifi camera', 'wifi spi', 'night vision motion', 'wifi', 'power work', 'world', 'servic', 'addit', 'camera', 'loop record', 'night vision', 'camera', 'app push notif motion', 'spi cameraspleas', 'wifi nanni camera push', 'camera enabl', 'world', 'messag phone', 'lamp bead', 'watch record', 'video record spi camera record', 'bike bracket use carbik camcord record', 'eveningintellig motion', 'sound', 'use', 'night vision', 'night vision', 'night vision', 'include1x spi camera wifi 1x bike bracket 1x magnet suction', 'monitor home', 'gift use', 'sticker', 'camera packag', 'detail user manual', 'technician', 'video', 'lamp bead', 'monitor livestream footag', 'magnet suction tip buildin', 'babi pet', 'bike bracket', 'pictur', 'ip camera home wifi network', 'review custom', 'app', 'spi wifi camera', 'angl', 'reason', 'camera', 'rang view', 'spi', 'app', 'mani place', 'work', 'rais', 'design', 'magnet suction', 'bike bracket', 'camera', 'surfac ❤️ motion', 'remot use packag', 'user manual', 'detail', 'technician', 'place', 'spi camera support', 'wife', 'home time note', 'carbik camcord record', 'revis', 'android', 'home', 'magnet suction', 'loop record', 'sticker', 'camera push', 'peopl', 'notif', 'messag phone', 'move', 'camera metal', '5', '800', '1', '720', '1', '140', '1', '247', '2', '118', '1', '24', '8', '1080', '1080', '4', '118', '5', '1', '2', '1080', '2', '8', '140', '1', '3', '247', '1080', '24', '118', '118', '2', '1', '180', '1', '1', '40', '118', '118', '1']","[0.07129555940628052, 0.05652594193816185, 0.05652594193816185, 0.05652594193816185, 0.05652594193816185, 0.048748280853033066, 0.04132341220974922, 0.04084242135286331, 0.03086797706782818, 0.03086797706782818, 0.02717929519712925, 0.02717929519712925, 0.021891748532652855, 0.016135849058628082, 0.01546753104776144, 0.01483307033777237, 0.013902531005442142, 0.013786355033516884, 0.012952201999723911, 0.01263638585805893, 0.011966763064265251, 0.011821453459560871, 0.011821453459560871, 0.010918894782662392, 0.010918894782662392, 0.010918894782662392, 0.010626495815813541, 0.010392147116363049, 0.010087070055305958, 0.009724508039653301, 0.009724508039653301, 0.009724508039653301, 0.009518684819340706, 0.009402907453477383, 0.00925905816257, 0.008866171352565289, 0.008090132847428322, 0.008090132847428322, 0.008090132847428322, 0.0074251978658139706, 0.0074251978658139706, 0.0071097430773079395, 0.00702312309294939, 0.00702312309294939, 0.006591251585632563, 0.006525022443383932, 0.006525022443383932, 0.006525022443383932, 0.00584461959078908, 0.00500855827704072, 0.004452017601579428, 0.00399351678788662, 0.0035077021457254887, 0.00327467592433095, 0.0030093148816376925, 0.0029490715824067593, 0.0026899788063019514, 0.0026899788063019514, 0.002362926257774234, 0.002362926257774234, 0.0022171831224113703, 0.0022171831224113703, 0.002198505913838744, 0.001984833739697933, 0.001882999436929822, 0.001882999436929822, 0.001882999436929822, 0.0017706610960885882, 0.0016856299480423331, 0.001653948682360351, 0.001653948682360351, 0.001653948682360351, 0.0016146113630384207, 0.001590195344761014, 0.001396727398969233, 0.0013891910202801228, 0.0013891910202801228, 0.0013759216526523232, 0.0012934607220813632, 0.0012934607220813632, 0.0012462397571653128, 0.0011797043262049556, 0.0011797043262049556, 0.0010361422318965197, 0.0010361422318965197, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,peni groom kit,['groom kit'],[1.0],willi care kit extrem funni groom set man everyth may spend hour gell hair use manproduct long realli spend make sure crown jewel kept mint condit willi care kit guarante everi part man look sharp perhap bad choic word tidi quick spit polish willi care kit he'll feel crimin keep wrap willi care kit make super stock filler secret santa birthday gift man like pamper groom novelti gift enough fanci gloss – we'll spell – willi care kit like mini stylist man bit bob he'll glanc smug spruce mirror shear hair perfect shape style shear fluf til fluff fluf brush don dingdong eleg even wear willi chain willi care kit willi care kit fantast gift man take pride appear willi care kit fun novelti gift featur fluf brush spruce mirror pair style shear even wear willi chain – contain luxuri present case willi care kit present case measur approxim 18 cm x 11 cm x 3 cm willi care kit suitabl man want groom genitalia bathroom cabinet get littl bulgi like feel like give man groom kit look willi care kit ridicul funni novelti gift willi care kit featur need look bee knee littl knee take look bbq peni product,"['part man', 'care kit', 'man', 'groom', 'hair use', 'realli', 'mint', 'crown jewel', 'care kit', 'willi care kit', 'everyth', 'kit willi care kit fantast gift man', 'care kit', 'care kit', 'care kit', 'perhap', 'word', 'pamper groom novelti gift', 'kit', 'fluff', 'fluf', 'shear', 'novelti gift', 'gift man', 'spruce mirror shear hair', 'suitabl man', 'pride', 'fluf brush', 'groom genitalia bathroom cabinet', 'stylist man bit bob', 'stock filler', 'fanci gloss', 'eleg', 'care kit', 'bulgi', 'man groom kit', 'knee', 'gift', 'chain', 'care kit', 'look bbq peni product', 'look bee knee', 'willi care kit featur', 'funni novelti', 'shear', 'case', 'case', 'brush spruce mirror pair', '11', '18', '3']","[0.10592543333768845, 0.07959552109241486, 0.0671805664896965, 0.05819424241781235, 0.04387186840176582, 0.04387186840176582, 0.04387186840176582, 0.03987549617886543, 0.031216176226735115, 0.031216176226735115, 0.026262329891324043, 0.02436015009880066, 0.021464310586452484, 0.019716786220669746, 0.019243767485022545, 0.01691882498562336, 0.01691882498562336, 0.016226032748818398, 0.014905635267496109, 0.014445764012634754, 0.014445764012634754, 0.014445764012634754, 0.0141913378611207, 0.014101620763540268, 0.01318659819662571, 0.012482303194701672, 0.012174776755273342, 0.012106907553970814, 0.01173689216375351, 0.01159442774951458, 0.011453678831458092, 0.011453678831458092, 0.010644069872796535, 0.01046267431229353, 0.010260820388793945, 0.010209975764155388, 0.009481675922870636, 0.007990717887878418, 0.007422557100653648, 0.006570618599653244, 0.006443494465202093, 0.006407422944903374, 0.005630357190966606, 0.0041571068577468395, 0.00409311568364501, 0.004019402898848057, 0.004019402898848057, 0.0035311903338879347, 0.0, 0.0, 0.0]"
7,best bbq grill 2019,"['bbq grill', '2019', '2019']","[1.0, 0.0, 0.0]",best bbq grill 2019 get anyth better anywher attract ofyr classic black 100100 grill center attent next social event gather chef guest togeth whole new way grill offer practic way cook enabl chef steam flamb stew grill conveni ofyr classic black 100100 grill threepart product featur corten steel base fire cone carbon steel cook plate corten steel materi develop layer patina protect steel corros left uncov outdoor allyearround sinc base improv contact outdoor element ofyr classic black 100100 grill guest sure impress smoki flavor brought wood even ofyr grill use add strike rustic appear open yard beauti standalon piec art featur model ocb100100 finish matt black left uncov outdoor children must supervis product use materi base cone black heat resist coat corten steel plate black carbon steel option cover spatula oilcan cook grate leather apron wood bag cedar wood plank avail specif overal dimens 385″ w x 385″ x 394″ h,"['bbq grill', 'grill', 'event', 'grill center', 'enabl chef steam flamb stew grill', 'chef guest', 'way', 'wood', 'base fire cone carbon steel', 'grill threepart product', 'grill guest', 'layer patina', 'element', 'base improv contact', 'allyearround', 'strike', 'grill use', 'materi base cone', 'corros', 'coat', 'heat', 'flavor', 'cover spatula oilcan cook grate leather apron wood bag cedar wood plank avail', 'product use', 'ocb100100 finish matt black', 'children', 'art featur model', '2019', '100100', '385', '385', '100100', '394', '100100', '2019']","[0.191807359457016, 0.09284916520118713, 0.09173769503831863, 0.09068436920642853, 0.05482275038957596, 0.04045344889163971, 0.039495646953582764, 0.036523789167404175, 0.03589312359690666, 0.027523577213287354, 0.025597093626856804, 0.02452262118458748, 0.02452262118458748, 0.02452262118458748, 0.02452262118458748, 0.022527985274791718, 0.02008461020886898, 0.019365612417459488, 0.019005967304110527, 0.01703478768467903, 0.01703478768467903, 0.016423722729086876, 0.011959727853536606, 0.008547767996788025, 0.007512175943702459, 0.007512175943702459, 0.007512175943702459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,marshal compact refriger 2019,"['2019', '2019']","[0.0, 0.0]",marshal compact refriger 2019 alway thought music beer time get useless fridg room music studio 44 cu ft fridg authent marshal look conveni storag higheffici freezer energi star compliant cpc free 44 cu ft fridg authent marshal look higheffici freezer energi star compliant cpc free marshal compact refriger ship within usa ship apo afo po box prvi hi ship lower 48 state marshal fridg proud featur authent marshal amp part genuin marshal logo fret cloth knob go 11 brass finish facepl custom brand glass shelv marshal fridg ultim combin rock refriger hold total 36 small can 18 larg can 28 beer bottl 8 wine bottl unit height top door hing 32″ unit width 2025″ unit depth 24″ refriger capac 4 cubic feet freezer capac 04 cubic feet total capac 44 cubic feet adjust fridg temperatur 34 48 degre adjust freezer temperatur 21 32 degre arctic blue interior led light adjust front leg adjust temper glass shelv cfcfree quiet low decibel compressor box unit weight 617 lbs,"['authent marshal', 'fridg room music studio', 'authent marshal', 'freezer energi star', 'state marshal', 'shelv marshal', 'larg', 'refriger ship', 'ship', 'ship', 'glass', 'po box', 'interior', 'featur authent marshal amp part genuin marshal logo', 'conveni storag higheffici freezer energi', 'cloth knob', 'rock refriger', 'temper glass', 'fridg ultim combin', 'compressor box unit weight', 'leg', 'freezer', 'unit width', 'unit depth', 'door', 'bottl unit height', '2019', '2025', '36', '34', '11', '2025', '32', '32', '48', '48', '617', '21', '28', '24', '4', '8', '04', '44', '18', '2019', '44', '44']","[0.1709793657064438, 0.11619293689727783, 0.06866884231567383, 0.051905885338783264, 0.048019327223300934, 0.04468315467238426, 0.04056304693222046, 0.038664884865283966, 0.038664884865283966, 0.038664884865283966, 0.035757582634687424, 0.03532840684056282, 0.03186239302158356, 0.031479135155677795, 0.031027186661958694, 0.030726153403520584, 0.029926851391792297, 0.017466843128204346, 0.01719644106924534, 0.015357865951955318, 0.015357865951955318, 0.012914730235934258, 0.009647833183407784, 0.009647833183407784, 0.009647833183407784, 0.009647833183407784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,bathroom toilet night light motion detector,['bathroom toilet night light motion detector'],[1.0],introduc bathroom toilet night light light sensor activ also turn automat find way toilet dark night light come 8 differ color addit option rotat toilet light color everi 15 second fun everyon fed get lost dark find bathroomit also great idea help potti train bathroom toilet night light easi oper instal first oper aaa batteri second fit toilet last soft pvc neck flexibl easi attach toilet bowl sturdi materi work shape,"['bathroom toilet night light light sensor activ', 'night light', 'rotat toilet', 'automat', 'bathroomit', 'color', 'toilet', 'fun', 'color addit option', 'idea', 'work shape', 'pvc neck', 'toilet bowl', 'bathroom toilet night light', 'aaa', '8', '15']","[0.2166142612695694, 0.13806788623332977, 0.08154751360416412, 0.07027162611484528, 0.06391061097383499, 0.06279356777667999, 0.057780805975198746, 0.056030988693237305, 0.05536458641290665, 0.05152489244937897, 0.03906852751970291, 0.03906852751970291, 0.027499139308929443, 0.023145487532019615, 0.017311571165919304, 0.0, 0.0]"
